Library Element,AIE_VARIANT,UUT_KERNEL,TT_DATA,TT_TWIDDLE,TP_POINT_SIZE,TP_CASC_LEN,TP_NUM_FRAMES,TP_FFT_NIFFT,TP_SHIFT,TP_API,TP_RND,TP_SAT,TP_SSR,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,DATA_MEMORY,PROGRAM_MEMORY
dft,AIE,dft,cint16,cint16,112,1,2,0,0,0,0,0,8,1,1,1,1176,518,499,561,48,8,83328,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,112,2,2,0,0,0,0,0,8,1,1,1,833,875,299,968,74,16,92912,1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,112,4,2,0,0,0,0,0,8,1,1,1,612,1513,162,1750,138,32,114128,2822 2704 2736 2736 2736 2736 2704 2822 2704 2822 2736 2736 2736 2736 2822 2704 2704 2736 2822 2736 2736 2822 2736 2704 2704 2822 2736 2736 2736 2736 2822 2704
dft,AIE,dft,cint16,cint16,112,2,32,0,0,0,0,0,1,1,1,1,67763,155,28738,155,17,2,109918,1808 1896
dft,AIE,dft,cint16,cint16,112,4,32,0,0,0,0,0,1,1,1,1,32989,319,13979,320,24,4,116410,2790 2778 2778 2868
dft,AIE,dft,cint16,cint16,112,1,32,0,0,0,0,0,2,1,1,1,61706,166,26840,166,22,2,138592,2142 2142
dft,AIE,dft,cint16,cint16,112,2,32,0,0,0,0,0,2,1,1,1,33663,307,14529,308,24,4,140988,2066 2126 2066 2126
dft,AIE,dft,cint16,cint16,112,4,32,0,0,0,0,0,2,1,1,1,17958,580,7688,583,36,8,153972,3140 3132 3132 3222 3140 3132 3132 3222
dft,AIE,dft,cint16,cint16,112,1,32,0,0,0,0,0,4,1,1,1,32985,300,14873,301,34,4,209600,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,112,2,32,0,0,0,0,0,4,1,1,1,18697,538,8291,540,38,8,214392,2252 1896 1896 2252 2252 1896 1896 2252
