Feat_1,Feat_2,Feat_3,Feat_4,Feat_5,Feat_6,Feat_7,Feat_8,Feat_9,Feat_10,Feat_11,Feat_12,Feat_13,Feat_14,Feat_15,Feat_16,Feat_17,Feat_18,Feat_19,Feat_20,Feat_21,Feat_22,Feat_23,Feat_24,Feat_25,Feat_26,Feat_27,Feat_28,Feat_29,Feat_30,Feat_31,Feat_32,Feat_33,Feat_34,Feat_35,Feat_36,Feat_37,Feat_38,Feat_39,Feat_40,Feat_41,Feat_42,Feat_43,Feat_44,Feat_45,Feat_46,Feat_47,Feat_48,Feat_49,Feat_50,Feat_51,Feat_52,Feat_53,Feat_54,Feat_55,Feat_56,Feat_57,Feat_58,Feat_59,Feat_60,Feat_61,Feat_62,Feat_63,Feat_64,Feat_65,Feat_66,Feat_67,Feat_68,Feat_69,Feat_70,Feat_71,Feat_72,Feat_73,Feat_74,Feat_75,Feat_76,Feat_77,Feat_78,Feat_79,Feat_80,Feat_81,Feat_82,Feat_83,Feat_84,Feat_85,Feat_86,Feat_87,Feat_88,Feat_89,Feat_90,Feat_91,Feat_92,Feat_93,Feat_94,Feat_95,Feat_96,Feat_97,Feat_98,Feat_99,Feat_100,Feat_101,Feat_102,Feat_103,Feat_104,Feat_105,Feat_106,Feat_107,Feat_108,Feat_109,Feat_110,Feat_111,Feat_112,Feat_113,Feat_114,Feat_115,Feat_116,Feat_117,Feat_118,Feat_119,Feat_120,Feat_121,Feat_122,Feat_123,Feat_124,Feat_125,Feat_126,Feat_127,Feat_128,Class,Run
95.083,74.671,61.313,56.096,49.222,42.345,40.696,39.378,37.451,38.045,40.793,44.341,51.232,63.704,84.298,123.62,201.74,330,375,250.18,146.46,90.567,59.735,44.101,35.452,28.508,23.926,22.143,20.475,18.745,18.749,19.466,20.242,22.656,27.71,36.131,52.862,82.439,102.36,80.124,58.225,54.355,55.419,42.504,29.408,21.835,17.398,15.544,15.323,14.836,13.207,12.083,11.259,10.584,10.505,10.305,9.8673,9.8089,10,10.109,10.306,10.834,11.661,13.247,16.164,17.867,15.985,14.176,13.298,12.861,12.702,12.575,12.422,12.404,12.406,12.387,12.599,12.949,13.311,14.137,15.193,16.338,18.156,20.4,22.891,26.419,30.794,35.922,42.904,51.833,63.179,78.376,98.729,126.62,164.19,213.71,277.07,347.29,401.84,415.56,390.27,339.63,280.26,228.72,189.74,160.22,135.55,117.39,104.91,94.313,85.499,79.758,75.531,71.505,69.026,67.881,66.912,66.806,67.827,69.399,71.733,75.351,80.106,86.137,94.085,104.26,116.98,133.13,1,1
75.604,61.4,54.398,48.822,41.613,38.279,37.2,34.857,33.691,35.164,36.781,39.673,46.285,56.612,74.919,110.67,179.49,262.96,237.1,151.49,99.49,74.612,66.67,69.303,81.848,110.5,167.67,264.05,316.72,231.45,138.93,86.127,57.716,43.436,34.598,27.41,23.264,21.62,19.86,19.397,22.109,27.266,28.574,22.56,17.685,14.401,12.783,12.601,12.751,12.614,11.832,11.016,10.134,9.7832,9.5855,9.3833,9.4063,9.5512,9.7615,10.002,10.361,10.847,11.691,13.318,16.24,17.917,16.086,14.279,13.336,12.867,12.636,12.465,12.289,12.204,12.191,12.292,12.556,12.987,13.603,14.471,15.671,17.14,18.864,21.276,24.264,28.111,32.916,38.969,46.729,56.706,69.774,87.203,110.57,142.56,185.66,243.47,313.13,379.44,420.38,420.08,378.41,316.03,258.64,214.21,177.91,148.41,127.51,112.62,99.819,89.634,83.126,77.658,72.758,69.851,68.093,66.443,65.808,66.387,67.228,68.904,71.819,75.504,80.35,86.818,95.105,105.51,118.83,135.85,1,1
66.972,54.925,47.477,44.093,39.521,35.516,34.754,33.87,32.658,33.395,35.239,37.428,41.975,49.394,62.135,85.932,120.68,132.39,123.88,134.77,178.45,275.7,449.67,576.01,442.27,259.1,155.51,103.02,72.955,52.512,41.313,34.695,27.976,23.823,22.01,19.702,17.291,16.869,16.991,16.973,19.406,24.812,26.272,20.364,16.131,13.855,12.223,11.859,12.494,12.463,11.36,10.748,10.168,9.5956,9.568,9.6149,9.4179,9.5382,9.8772,10.056,10.333,10.873,11.725,13.326,16.288,18.016,16.226,14.361,13.45,12.928,12.682,12.471,12.247,12.201,12.182,12.199,12.547,12.996,13.525,14.593,15.839,17.218,19.369,21.95,24.863,28.983,33.983,40.127,48.348,58.862,72.579,90.935,115.78,150.07,196.15,255.06,326.25,395.33,429.98,414.27,367.6,309.84,252.42,205.53,171.79,146.2,124.52,108.89,98.194,88.966,81.139,76.285,72.561,68.992,67.084,66.219,65.543,65.753,67.071,68.904,71.506,75.468,80.503,86.97,95.381,106.12,119.6,136.47,1,1
59.007,52.926,46.534,40.393,37.587,36.062,33.42,32.621,33.203,33.395,34.624,37.367,40.947,46.589,55.733,70.448,87.82,105.13,139.23,209.58,348.96,578.1,675.71,464.47,267.56,164.41,109.26,74.833,55.762,45.122,35.824,28.77,25.716,23.03,19.651,18.067,17.551,16.187,15.647,17.02,19.438,23.647,25.624,20.625,15.67,13.216,12.566,12.037,11.974,12.436,11.71,10.487,10.002,9.9187,9.6166,9.4429,9.6742,9.8386,9.8849,10.172,10.58,10.962,11.812,13.535,16.505,18.368,16.588,14.622,13.48,12.887,12.495,12.214,12.058,11.86,11.866,12.119,12.3,12.796,13.648,14.426,15.675,17.459,19.345,21.892,25.245,29.042,34.031,40.596,48.664,59.201,73.261,91.89,117.21,151.53,198.15,260.02,331,394.77,429.06,418.13,367,303.87,249.65,206.55,170.4,143.14,124.54,109.58,96.895,88.157,81.898,76.107,71.791,69.374,67.319,65.805,65.642,66.125,67.023,68.973,71.977,75.738,80.812,87.554,95.989,106.67,120.56,137.82,1,1
59.502,52.439,44.669,39.717,37.884,35.109,32.724,32.596,32.723,32.716,34.451,37.065,40.54,46.338,55.568,70.474,87.038,104.48,139.92,212.42,355.83,581.92,652.93,437.01,254.48,157.65,102.66,70.947,55.006,43.375,33.703,28.564,25.516,21.73,19.03,18.225,16.931,15.373,15.6,16.611,18.124,22.15,23.886,19.027,14.948,13.541,12.962,12.684,13.936,15.979,15.821,13.474,12.013,11.073,10.327,10.197,10.266,10.221,10.394,10.759,11.065,11.503,12.502,14.322,17.569,19.654,17.769,15.638,14.453,13.778,13.294,12.977,12.626,12.404,12.435,12.528,12.692,13.301,13.975,14.867,16.348,17.996,19.954,22.85,26.203,30.204,35.721,42.515,51.049,62.451,77.461,97.613,124.89,161.85,213.16,279.06,351.35,414.79,443.5,420.16,360.24,297.78,245.54,200.86,165.51,141,122.82,107.28,95.726,87.806,81.148,75.393,71.9,69.516,67.235,66.166,66.284,66.579,67.683,70.014,72.996,77.056,82.529,89.554,98.384,109.85,124.33,142.28,1,1
61.795,50.78,45.474,42.43,37.731,34.979,34.456,33.367,32.674,33.925,35.451,37.631,41.852,48.025,58.075,74.114,91.09,108.69,145.33,221.36,369.91,593.99,643.43,428.9,249.78,150.14,99.607,73.206,54.78,41.816,35.145,30.195,25.012,22.22,20.99,18.785,16.941,16.859,16.555,16.398,18.772,23.346,24.653,19.828,16.394,14.339,13.061,13.166,13.967,14.928,15.814,14.815,12.832,11.599,11.196,10.928,10.702,10.86,11.078,11.038,11.156,11.586,12.309,14.004,17.451,19.888,17.232,14.285,12.706,11.895,11.5,11.292,11.216,11.361,11.535,11.792,12.415,12.999,13.767,15.046,16.416,18.1,20.568,23.36,26.805,31.554,37.224,44.432,54.109,66.49,83.031,105.27,135.65,177.95,233.62,302.46,377.67,434.29,441.03,399.81,341.98,283.04,229.7,188.51,160.02,137.24,118.17,104.4,94.973,86.355,79.479,75.298,71.72,68.621,66.99,66.333,65.707,66.156,67.708,69.638,72.681,77.014,82.467,89.439,98.629,110.29,124.74,143.21,1,1
60.529,51.905,47.844,42.318,37.844,36.375,35.003,33.306,33.525,34.557,35.681,38.353,42.733,49.094,60.017,77.173,94.039,109.15,142.11,212.67,352.19,579.88,674.07,464.86,265.64,160.22,108.21,76.769,55.571,44.096,37.19,30.115,25.398,23.518,20.962,18.437,17.621,17.213,16.259,16.832,19.782,24.19,26.054,21.29,16.831,13.93,12.986,12.986,12.943,13.104,12.55,11.44,10.46,10.273,10.211,9.9361,9.9547,10.234,10.309,10.371,10.644,10.983,11.655,13.283,16.398,18.616,16.227,13.583,12.128,11.433,11.09,10.894,10.909,11.027,11.143,11.52,12.015,12.485,13.393,14.509,15.641,17.412,19.609,22.065,25.503,29.766,34.807,41.638,50.394,61.445,76.289,96.274,123.33,160.25,209.12,272.85,345.83,405.26,426.5,404.22,354.21,293.14,238.3,198.37,167.35,141.3,122,108.63,97.063,87.555,81.36,76.593,72.068,69.188,67.516,66.147,65.427,65.924,66.952,68.688,71.571,75.429,80.32,86.941,95.461,106.15,119.75,137.35,1,1
64.592,57.358,50.82,43.562,39.834,38.209,35.379,33.823,34.352,34.816,35.934,39.347,44.453,52.87,68.434,96.926,133.73,137.37,124.86,134.09,176.27,269.36,431.95,554.42,436.53,266.82,163.86,104.63,72.592,55.79,43.437,33.879,29.137,25.927,22.023,19.777,18.919,17.616,16.673,17.793,20.232,24.421,26.86,21.994,16.788,14.152,13.393,12.947,12.867,13.442,12.724,11.343,10.565,10.508,10.194,9.9084,10.057,10.261,10.221,10.398,10.671,10.949,11.659,13.318,16.357,18.546,16.218,13.578,12.149,11.467,11.102,10.971,10.988,11.028,11.242,11.659,12.024,12.612,13.561,14.491,15.785,17.694,19.681,22.303,25.946,30.009,35.297,42.34,51.117,62.472,77.773,98.161,126.04,163.6,214.06,279.95,351.63,407.63,427.65,404.17,349.48,287.42,236.16,197.24,164.77,139.18,121.75,107.93,95.901,87.355,81.521,76.037,71.699,69.291,67.454,65.846,65.565,66.114,66.931,68.866,71.901,75.701,80.802,87.61,96.199,107.02,121.1,138.74,1,1
73.807,65.095,56.025,47.065,42.786,40.753,36.915,35.146,35.97,36.131,37.679,42.137,48.851,60.46,82.262,124.48,201.02,261.15,203.61,129.77,90.602,75.981,74.52,83.699,108.67,160.94,256.4,342.06,280.46,172.48,104.34,68.065,50.059,38.806,30.453,25.774,23.312,20.543,19.109,19.851,21.879,26.272,29.131,23.621,17.756,14.834,13.873,13.184,13.05,13.6,12.838,11.346,10.673,10.569,10.141,9.8769,10.031,10.179,10.13,10.34,10.628,10.882,11.595,13.237,16.266,18.423,16.112,13.484,12.079,11.388,11.041,10.915,10.919,10.947,11.142,11.535,11.885,12.486,13.343,14.226,15.457,17.228,19.105,21.62,24.974,28.807,33.813,40.348,48.458,59.029,73.131,91.872,117.47,151.68,198.49,260.06,329.92,391.68,423.74,411.28,361.19,299.44,247.78,206.03,171.06,144.7,126.08,111.07,98.318,89.489,83.188,77.224,72.845,70.341,68.082,66.433,66.052,66.424,67.062,68.891,71.72,75.362,80.33,86.868,95.171,105.63,119.19,136.18,1,1
91.764,76.43,67.755,56.896,48.66,45.748,42.879,39.296,39.199,40.648,42.013,46.553,55.099,68.257,92.341,138.27,228.38,360.34,365.16,231.01,133.5,82.525,57.81,43.979,33.665,27.567,24.951,21.947,19.461,19.31,19.234,19.084,20.871,24.238,29.436,40.012,60.436,92.151,105.62,79.968,58.631,53.674,55.823,44.78,30.694,22.281,18.459,16.704,15.69,15.516,14.413,12.659,11.449,11.206,11.004,10.441,10.257,10.348,10.288,10.311,10.597,10.919,11.552,13.174,16.212,18.344,15.99,13.415,11.986,11.325,10.983,10.833,10.846,10.915,11.025,11.402,11.788,12.197,13.014,13.916,14.881,16.487,18.29,20.357,23.379,26.892,31.114,36.885,44.165,53.229,65.445,81.61,103.4,133.05,172.87,226.74,293.66,360.16,407.86,417.47,383.56,324.78,268,222.55,185.62,155.11,133.22,117.52,103.71,93.101,86.151,80.236,75.077,71.739,69.699,67.862,66.914,67.177,67.899,69.25,71.95,75.547,80.101,86.359,94.442,104.56,117.59,134.29,1,1
