Test Name,UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_SIZE,NUM_FRAMES,GRID_DIM,CASC_LEN,DIAG_INV,NITER,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
test_765_aie1_hw_qor,cholesky,1,float,200,4,5,4,0,16,1,1,1,1737306,245,368051,1421,363,50,50,101,1903494,2990 3000 2916 2878 2098 2010 2594 3198 2878 2916 2480 3222 2504 3022 2098 3290 2098 2098 2878 2916 2480 3222 2504 3022 2480 3552 2480 2480 2878 2916 2480 3222 2504 3022 3552 2480 2480 2480 3290 2098 2098 2098 3552 2480 2480 2480 3282 2050 2050 2050
test_766_aie1_hw_qor,cholesky,1,float,336,1,6,7,1,16,default,default,default,,,,,,,,,,
test_767_aie1_hw_qor,cholesky,1,cfloat,48,35,6,1,1,16,default,default,default,,,,,,,,,,
test_768_aie2_hw_qor,cholesky,2,float,32,10,2,4,0,16,1,1,1,1456764,43,219984,217,88,12,12,18,362736,8608 8544 8704 8688 2864 2848 2976 2976 2384 9920 2384 2384
test_769_aie2_hw_qor,cholesky,2,cfloat,4,52,1,1,1,16,1,1,1,453208,5,189256,5,7,1,1,2,31192,7808
test_770_aie22_hw_qor,cholesky,22,cfloat,16,4,2,3,1,16,1,1,1,218822,22,35094,23,45,9,9,14,91161,4602 4460 4600 7386 4100 4100 4598 4620 4612
test_771_aie2_hw_qor,cholesky,2,float,320,2,5,5,1,16,default,default,default,,,,,,,,,,
test_772_aie1_hw_qor,cholesky,1,float,112,1,2,2,0,16,1,1,1,268433,152,77210,152,47,6,6,12,254722,3356 2146 2980 3064 3084 2956
test_773_aie22_hw_qor,cholesky,22,float,288,1,6,6,0,16,default,default,default,,,,,,,,,,
test_774_aie22_hw_qor,cholesky,22,float,48,47,3,9,1,16,default,default,default,,,,,,,,,,
test_775_aie2_hw_qor,cholesky,2,float,8,16,1,7,1,16,1,1,1,277011,44,29005,44,37,7,7,12,97505,7856 7792 7856 7856 7728 7664 7648
