Library Element,Test Name,AIE_VARIANT,UUT_KERNEL,T_DATA_A,T_DATA_B,DATA_OUT_TYPE,P_DIM_A,P_DIM_AB,P_DIM_B,P_SHIFT,P_ROUND_MODE,P_SAT_MODE,P_DIM_A_LEADING,P_DIM_B_LEADING,P_DIM_OUT_LEADING,P_ADD_TILING_A,P_ADD_TILING_B,P_ADD_DETILING_OUT,P_INPUT_WINDOW_VSIZE_A,P_INPUT_WINDOW_VSIZE_B,P_CASC_LEN,UUT_SSR,SINGLE_BUF,COMPILE,SIM,FUNC,Latency (ns),Throughput (MSa/s),cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
matrix_mult,test_136_aie1_hw_qor,AIE,matrix_mult,cint32,cint32,cint32,3480,44,16,16,0,0,1,1,1,0,0,0,153120,704,11,15,0,default,default,default,,,,,,,,,,
matrix_mult,test_137_aie1_hw_qor,AIE,matrix_mult,int16,cint32,cint32,16,16,68,16,0,0,1,0,1,0,0,0,256,1088,2,8,0,1,1,1,10512,1244,271,5018 MSa/s,96,16,16,32,192632,1716 1854 1716 1854 1716 1854 1716 1854 1716 1854 1716 1854 1716 1854 1716 1854
matrix_mult,test_140_aie1_hw_qor,AIE,matrix_mult,int16,cint16,cint16,56,12,1220,16,0,0,1,0,1,0,0,0,672,14640,3,14,0,default,default,default,,,,,,,,,,
matrix_mult,test_141_aie1_hw_qor,AIE,matrix_mult,int16,cint16,cint16,176,1952,52,16,0,0,1,1,1,0,0,0,343552,101504,16,2,0,1,1,1,70011,257,38355,298 MSa/s,257,32,32,66,1605572,1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1782 1688 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 1782 1688
matrix_mult,test_151_aie1_hw_qor,AIE,matrix_mult,cfloat,float,cfloat,432,40,2,0,0,0,1,0,1,0,0,0,17280,80,2,4,0,1,1,1,9261,138,3422,315 MSa/s,52,8,8,16,174136,1816 2006 1816 2006 1816 2006 1816 2006
matrix_mult,test_152_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,2,20,20,0,0,0,1,0,1,0,0,0,40,400,1,1,0,1,1,1,2590,62,503,99 MSa/s,7,1,1,2,9800,1996
matrix_mult,test_153_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,10,8,34,0,0,0,1,1,0,0,0,0,80,272,1,5,0,1,1,1,3085,776,378,1124 MSa/s,35,5,5,10,40040,1914 1914 1914 1914 1914
matrix_mult,test_156_aie1_hw_qor,AIE,matrix_mult,cint32,int32,cint32,96,58,120,16,0,0,0,0,0,0,0,0,5568,6960,1,4,0,1,1,1,120721,281,44204,325 MSa/s,48,4,4,16,301348,1802 1802 1802 1802
matrix_mult,test_157_aie1_hw_qor,AIE,matrix_mult,int32,cint32,cint32,476,4,112,16,0,0,0,1,1,0,0,0,1904,448,1,14,0,1,1,1,37046,4504,7642,8720 MSa/s,112,14,14,28,572670,1880 1880 1880 1880 1880 1880 1880 1880 1880 1880 1880 1880 1880 1880
matrix_mult,test_162_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,924,4,8,0,0,0,0,1,1,0,0,0,3696,32,1,14,0,1,1,1,5111,4226,2123,4352 MSa/s,98,14,14,28,189168,2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130
matrix_mult,test_163_aie1_hw_qor,AIE,matrix_mult,int16,cint16,cint32,48,4,8,16,0,0,0,1,0,0,0,0,192,32,2,6,0,1,1,1,1381,3801,82,5853 MSa/s,66,12,12,24,34644,1602 1794 1602 1794 1602 1794 1602 1794 1602 1794 1602 1794
matrix_mult,test_165_aie1_hw_qor,AIE,matrix_mult,int32,cint16,cint32,32,12,32,16,0,0,0,1,1,0,0,0,384,384,1,1,0,1,1,1,11822,254,4958,258 MSa/s,7,1,1,2,24713,3088
matrix_mult,test_166_aie1_hw_qor,AIE,matrix_mult,int16,int32,int32,1152,380,30,16,0,0,1,1,0,0,0,0,437760,11400,10,8,0,default,default,default,,,,,,,,,,
matrix_mult,test_167_aie1_hw_qor,AIE,matrix_mult,int16,int16,int16,12,464,72,16,0,0,1,0,0,0,0,0,5568,33408,4,1,0,1,1,1,18661,137,3661,295 MSa/s,26,4,4,9,101269,1720 1752 1752 1860
matrix_mult,test_169_aie1_hw_qor,AIE,matrix_mult,int16,cint16,cint32,6648,4,2,16,0,0,1,1,0,0,0,0,26592,8,1,6,0,1,1,1,11082,3121,858,19370 MSa/s,48,6,6,12,226224,1686 1686 1686 1686 1686 1686
matrix_mult,test_171_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,4,28,6,0,0,0,1,1,0,0,0,0,112,168,1,2,0,1,1,1,1077,88,241,124 MSa/s,14,2,2,4,11536,1816 1816
