UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DATA_OUT_TYPE,COEFF_TYPE,FIR_LEN,SHIFT,SAT_MODE,ROUND_MODE,INPUT_WINDOW_VSIZE,CASC_LEN,DUAL_IP,USE_COEFF_RELOAD,NUM_OUTPUTS,UUT_SSR,PORT_API,INTERPOLATE_FACTOR,DECIMATE_FACTOR,UUT_PARA_DECI_POLY,UUT_PARA_INTERP_POLY,UPSHIFT_CT,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
fir_sr_asym,1,cfloat,cfloat,float,63,0,0,0,24,4,0,0,1,3,0,1,1,1,1,0,0,1,1,1,1041.0,252.0,382.4,1017.6,234.37,94.4,143.0,234.37,87.0,36.0,36.0,72.0,140892.0,1468 1814 1604 1554 1468 1814 1604 1554 1578 1798 1604 1554 1468 1814 1604 1554 1468 1786 1604 1604 1588 1798 1604 1554 1468 1786 1604 1604 1478 1786 1604 1604 1588 1798 1604 1554
fir_sr_asym,2,float,float,float,4,0,0,0,80,1,0,1,2,1,0,1,1,1,1,0,0,1,1,1,2837.0,111.0,856.0,2873.96,111.35,718.4,804.0,124.37,10.0,1.0,1.0,3.0,5309.0,2224
fir_sr_asym,1,int32,int32,int32,188,0,0,0,8064,6,0,1,1,2,1,1,1,1,1,0,0,1,1,1,853.0,1196.0,528.0,844.57,1194.23,6744.0,8491.0,1187.41,30.0,24.0,24.0,48.0,93522.0,4316 3900 4188 3900 4188 3328 4188 3900 4188 3900 4176 3132 4332 3900 4188 3900 4176 3328 4188 3900 4188 3884 4188 3132
fir_sr_asym,2,cint16,cint16,cint16,1363,0,0,0,8,8,0,0,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,int32,int32,int32,1656,0,0,0,128,2,0,1,1,8,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,float,float,float,1055,0,0,0,8720,2,0,1,1,5,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,int32,int32,int16,283,0,0,0,16,8,0,0,1,1,0,1,1,1,1,0,0,1,1,1,3449.0,42.0,5449.6,3440.6,42.67,374.93,458.0,43.66,19.0,8.0,8.0,9.0,40420.0,1888 1680 1680 1680 1680 1664 1680 1904
fir_sr_asym,22,cint16,cint16,cint16,14,0,0,0,3584,1,0,0,1,7,1,1,1,1,1,0,0,1,1,1,1739.0,2395.0,548.79,1739.2,2397.0,1495.27,1895.0,2462.89,49.0,49.0,49.0,112.0,153370.0,1452 1452 1548 1548 1548 1548 1548 1528 1528 1548 1548 2376 2376 1548 1528 1528 1528 1452 1528 1528 2376 1528 1548 1548 1452 1528 1528 1548 1452 1548 1452 1528 1528 2376 1528 2376 1528 1548 1452 1548 1548 2376 1528 1548 1548 1838 1548 1548 1548
fir_sr_asym,1,cint32,cint32,cint32,143,0,0,0,72,10,0,1,2,1,0,1,1,1,1,0,0,1,1,1,3416.0,64.0,1320.0,3401.6,65.86,1097.6,1375.0,65.45,27.0,10.0,10.0,11.0,75859.0,3282 2850 2850 2786 2786 2786 2786 2786 2786 3048
fir_sr_asym,22,cint32,cint32,int32,422,0,0,0,656,3,0,0,1,1,0,1,1,1,1,0,0,1,1,1,123453.0,15.0,55016.0,123452.06,15.99,41016.79,51247.0,16.0,13.0,3.0,3.0,5.0,66158.0,6686 6440 6348
fir_sr_asym,2,int32,int32,int32,5,0,0,0,55552,3,0,0,1,1,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint16,cint16,cint32,111,0,0,0,3440,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,254275.0,40.0,89126.4,254508.68,40.13,85769.1,107075.0,40.15,12.0,1.0,1.0,3.0,63458.0,5808
fir_sr_asym,2,float,float,float,8,0,0,0,11408,3,0,1,1,2,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint16,cint16,cint16,224,0,0,0,112,7,0,0,1,7,0,1,1,1,1,0,0,1,1,1,1752.0,1454.0,1145.59,1739.4,1403.8,76.8,253.0,619.46,972.0,343.0,343.0,399.0,1493211.0,1514 1514 1674 1556 1674 1556 1556 1556 1506 1514 1506 1514 1514 1530 1696 1514 1514 1514 1514 1526 1526 1432 1540 1432 1540 1432 1530 1514 1514 1530 1686 1530 1696 1556 1514 1514 1556 1556 1556 1556 1696 1432 1526 1686 1530 1686 1530 1432 1696 1530 1432 1540 1432 1526 1514 1556 1556 1506 1514 1506 1514 1514 1530 1696 1514 1506 1514 1514 1526 1526 1432 1540 1432 1540 1432 1530 1526 1432 1530 1530 1548 1514 1514 1530 1686 1530 1696 1556 1514 1514 1556 1556 1556 1556 1696 1432 1526 1686 1530 1686 1530 1432 1696 1530 1432 1540 1432 1526 1514 1556 1556 1506 1514 1506 1514 1514 1530 1696 1514 1506 1514 1514 1526 1526 1432 1540 1432 1540 1432 1530 1514 1514 1530 1686 1530 1686 1556 1514 1514 1556 1556 1556 1556 1696 1432 1526 1686 1530 1686 1530 1432 1674 1530 1696 1548 1526 1548 1526 1506 1696 1530 1432 1540 1432 1540 1514 1556 1556 1506 1514 1514 1514 1514 1530 1696 1514 1506 1514 1506 1526 1526 1432 1540 1432 1526 1432 1530 1514 1514 1530 1686 1530 1686 1556 1514 1514 1556 1556 1556 1556 1696 1432 1526 1686 1530 1696 1530 1432 1686 1530 1432 1540 1432 1540 1514 1556 1556 1506 1514 1514 1514 1514 1530 1658 1514 1506 1514 1506 1526 1556 1556 1556 1506 1514 1506 1514 1514 1540 1540 1432 1526 1432 1530 1514 1530 1686 1530 1686 1556 1506 1556 1556 1556 1556 1696 1432 1686 1530 1696 1530 1432 1686 1432 1540 1432 1540 1514 1556 1514 1514 1514 1514 1514 1530 1514 1506 1514 1506 1526 1540 1526 1548 1526 1548 1530 1514 1530 1530 1556 1506 1548 1674 1556 1674 1556 1674 1530 1696 1530 1514 1514 1514 1514 1540 1526 1432 1526 1540 1432 1540 1432 1530 1514 1514 1514 1530 1696 1530 1696 1556 1514 1514 1514 1556 1556 1556 1556 1686 1432 1526 1548 1686 1530 1686 1530 1432 1696 1530 1432 1526 1432 1526 1514
fir_sr_asym,2,int16,int16,int32,9,0,0,0,16,6,0,1,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,int32,int32,int16,10,0,0,0,1248,4,0,0,1,2,0,1,1,1,1,0,0,1,1,1,1139.0,2486.0,1051.2,1116.8,2468.35,502.4,657.0,2374.42,40.0,16.0,16.0,36.0,100808.0,1120 1248 1248 1056 1248 1328 1248 1360 1120 1248 1248 1056 1248 1328 1248 1376
fir_sr_asym,2,cint16,cint16,cint16,28,0,0,0,58752,8,0,0,1,2,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,cint16,cint16,int16,4,0,0,0,576,1,0,1,1,2,1,1,1,1,1,0,0,1,1,1,726.0,803.0,171.2,726.4,803.57,716.8,900.0,800.0,10.0,4.0,4.0,8.0,10134.0,2064 1680 2064 1680
fir_sr_asym,22,cint16,cint16,int16,14,0,0,0,288,9,0,0,1,1,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
